nr_convenio;id_proposta
962116;1975248
750073;311880
764196;493094
786083;724253
889921;1512561
896909;1521335
865961;1331661
806986;863454
838510;1120255
746519;310839
822935;986598
861008;1259319
795684;751211
987610;2123446
829078;1061161
760612;402230
860500;1183994
808522;891736
837835;1058706
973604;2040912
936046;1750597
926911;1755176
889062;1421840
864859;1341090
775013;637031
828427;1054620
758633;505443
788643;761149
794333;779176
710014;101007
952858;1947099
818878;981949
819679;982344
728933;144816
784742;730811
955673;1961996
940033;1779450
702641;33463
950148;1909939
829360;1060247
896091;1518364
708953;110534
751606;312344
788333;737263
733580;200119
784018;728040
866812;1337679
801230;854927
877474;1370267
967436;1973365
825179;1002396
772260;593924
922666;1729517
963993;1968068
802581;873756
828007;1054915
779665;652229
718472;123636
892421;1488714
983640;2121665
717996;85486
922245;1657062
750677;341597
713573;125342
779366;651398
822325;996299
736509;306229
899905;1534685
993358;2183213
886109;1422561
978758;2122628
915870;1670888
949396;1931541
961029;1972913
775593;644150
908365;1614682
852962;1264637
747497;304730
855858;1277038
943137;1856533
983189;2142205
716745;113886
985854;2093931
854299;1271781
792932;741198
715844;124139
881228;1402262
744673;301981
724820;155237
875917;1370202
974642;2034332
710626;95090
957526;1976077
786458;690414
928050;1747143
923345;1687930
819628;995086
834008;1083740
753626;188817
972316;1966061
896858;1510815
955927;1963905
922907;1724457
967287;2011562
879128;1388857
761693;511710
966798;1985929
903398;1578829
815803;863313
935228;1797244
981602;2136965
913943;1666913
793043;775585
841327;1125318
843132;1158890
978155;2104155
904152;1533226
738733;310932
755800;402832
866849;1333705
925547;1729594
723413;113977
884966;1424982
888365;1482424
911625;1661866
888092;1481308
714498;106226
986832;2135474
746268;322690
763543;523128
774913;638814
873223;1343590
923699;1732742
707982;79696
786586;757360
858078;1279424
984142;2143100
800199;750631
840907;1066041
828318;1080214
769747;584883
874806;1355618
847187;1170300
712502;103428
974197;2031816
959162;1966762
954691;1842207
882635;1422953
817249;964974
933450;1792515
901204;1540676
815873;929127
716767;45946
902565;1574348
717456;128782
902555;1569631
752355;311927
749770;304280
827870;1066339
714295;89441
736737;203349
833957;1083528
854304;1230710
886604;1423647
783862;721642
718965;139906
917932;1676082
989402;2153178
950480;1936494
737255;292797
903235;1576605
903094;1538501
914517;1662690
894482;1478447
847170;1161295
950119;1938918
839484;1122862
973635;1964425
906050;1560372
757941;482886
880549;1296736
939610;1819483
942390;1860114
934463;1798246
916311;1688534
989701;2122700
991082;2162015
789844;670343
715570;140219
744955;293445
882777;1418847
896240;1519324
773739;598867
993008;2115585
715405;121882
903893;1566381
839857;1127254
790658;819266
883223;1459599
710587;87211
755568;428794
808208;890856
926527;1747162
780636;567083
862142;1162850
736564;309335
961222;1963297
809012;855973
955476;1950998
919565;1690608
891467;1499663
909105;1613372
993746;2191621
981022;2116219
844811;1164322
887870;1423245
729000;159648
806885;849884
751389;342530
800467;820462
876641;1375703
959677;1983209
936371;1811483
772776;578189
818461;983348
859949;1248921
842792;1171310
866986;1337828
960261;1983550
